Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1556668800,5267.86,5269.0,5265.9,5267.0,1.76601691,9300.9846247,5266.6452807
1556668860,5267.0,5267.0,5263.03,5263.03,0.16325588,859.84099687,5266.830186300001
1556668920,5266.05,5267.16,5263.22,5263.22,0.33417954,1759.8187965,5266.0877937
1556668980,5268.14,5268.14,5265.79,5265.81,0.80110372,4220.3125076,5268.1224693
1556669040,5268.14,5268.14,5263.59,5263.59,0.27107566,1427.5433636,5266.217423
1556669100,5266.36,5267.49,5263.5,5265.32,3.90242765,20555.816706999998,5267.4433842
1556669160,5265.33,5265.33,5263.73,5265.32,0.80315147,4228.8422359999995,5265.3109581
1556669220,5265.32,5267.94,5265.32,5265.76,0.49790131,2622.0117569000004,5266.127451899999
1556669280,5267.31,5271.54,5265.41,5270.59,4.33184287,22827.862534,5269.780834300001
1556669340,5271.54,5271.54,5270.59,5270.59,0.03320301,175.03004534,5271.511388100001
1556669400,5272.22,5274.0,5270.59,5274.0,0.43028126,2268.903843,5273.0714858
1556669460,5271.75,5274.0,5271.75,5273.31,1.29900499,6850.9374765,5273.9885753
1556669520,5274.0,5276.18,5273.29,5276.07,2.69674201,14225.459343,5275.053857600001
1556669580,5273.31,5275.74,5272.33,5272.33,9.60510973,50650.102124000005,5273.2455482000005
1556669640,5273.52,5277.89,5273.52,5276.79,3.96242555,20907.994656,5276.5646678
1556669700,5275.96,5278.46,5274.13,5275.32,3.54774102,18720.327818,5276.689508199999
1556669760,5275.32,5278.02,5275.32,5276.43,0.43560649,2298.1420269,5275.7295395
1556669820,5278.02,5280.68,5276.43,5280.68,3.02247598,15958.366337000001,5279.8984814
1556669880,5279.47,5285.48,5279.47,5283.55,4.66513461,24650.817237,5284.0527224
1556669940,5285.7,5289.11,5284.78,5289.11,9.98410964,52777.347081,5286.1345663
1556670000,5288.34,5295.13,5288.11,5294.85,41.20851517,218061.509,5291.661398300001
1556670060,5292.52,5298.0,5291.48,5295.69,14.02038905,74252.02279,5296.0030228
1556670120,5296.8,5315.92,5295.69,5315.52,32.61333058,173023.80059,5305.3091333
1556670180,5315.52,5331.27,5304.31,5310.71,60.36479251,320913.27642,5316.232576699999
1556670240,5310.68,5318.09,5307.36,5309.14,18.98929191,100885.48005,5312.7562907
1556670300,5309.13,5312.06,5304.02,5310.44,3.73198552,19817.613408,5310.206404
1556670360,5313.91,5314.96,5303.89,5303.98,2.71232921,14412.076029,5313.5423149
1556670420,5307.99,5307.99,5304.36,5304.36,0.10239309,543.28712423,5305.8963669
1556670480,5308.73,5309.38,5305.8,5307.11,0.91078347,4834.4038448,5307.9617758
1556670540,5307.34,5307.34,5301.17,5301.17,0.59034969,3131.1644979000002,5303.9148676
1556670600,5301.56,5304.87,5299.72,5302.4,1.20684775,6397.7628873,5301.2178937
1556670660,5305.94,5309.0,5305.94,5308.5,3.38672204,17973.446659999998,5307.0333046999995
1556670720,5308.99,5310.51,5306.95,5308.65,5.61309471,29803.137844999997,5309.573307500001
1556670780,5312.32,5312.32,5306.29,5309.83,4.61151194,24487.950504,5310.1782718
1556670840,5311.97,5311.97,5307.65,5310.19,0.45162558,2397.9284808,5309.5497399
1556670900,5310.19,5312.01,5309.06,5311.78,2.66153021,14133.135509,5310.154082
1556670960,5311.01,5311.01,5305.58,5306.24,2.97895261,15813.132333000001,5308.2859659
1556671020,5308.04,5308.76,5303.91,5303.91,0.49375399999999997,2620.306555,5306.9069922
1556671080,5306.98,5313.1,5300.77,5303.56,3.35463931,17810.920809,5309.3400401
1556671140,5303.56,5307.44,5301.3,5302.69,0.75261063,3992.1734466,5304.4340427
1556671200,5301.39,5303.45,5300.06,5300.06,3.06388109,16247.825707,5303.020982
1556671260,5300.89,5305.61,5297.93,5302.64,13.88771734,73638.218879,5302.3990247
1556671320,5298.32,5298.32,5298.3,5298.3,0.151,800.04332,5298.3001325000005
1556671380,5301.04,5301.14,5297.1,5297.1,1.6718128,8859.7596711,5299.4926651
1556671440,5301.13,5301.13,5296.22,5296.22,1.48027002,7841.396322399999,5297.274292100001
1556671500,5296.3,5299.46,5296.3,5298.57,0.64224183,3402.9679002999997,5298.5771735
1556671560,5301.14,5301.14,5296.5,5296.51,4.40286932,23336.335328999998,5300.2561813
1556671620,5296.51,5299.94,5296.49,5296.49,0.19762801,1046.7927453,5296.7833118
1556671680,5299.94,5299.94,5296.47,5296.73,2.94859505,15625.02843,5299.1435464
1556671740,5297.09,5297.09,5294.07,5294.94,3.0667413,16242.459747,5296.325368899999
1556671800,5298.23,5298.23,5294.85,5296.11,0.70731607,3746.0836394000003,5296.1947258
1556671860,5297.76,5300.25,5297.54,5299.61,2.13949117,11336.927464,5298.8895787
1556671920,5300.0,5300.44,5298.74,5298.74,0.96286976,5103.166554,5299.9551611
1556671980,5300.28,5300.29,5298.74,5298.74,0.77917103,4128.9715602,5299.1851612
1556672040,5300.48,5300.48,5297.04,5299.23,3.6278935,19225.180583,5299.2681794
1556672100,5299.23,5303.98,5298.31,5303.98,1.36219386,7221.856862600001,5301.636628
1556672160,5299.18,5300.86,5296.78,5296.78,2.48195682,13151.502969,5298.8443889
1556672220,5297.54,5297.63,5294.3,5296.64,2.06235369,10925.05672,5297.3729837
1556672280,5298.64,5299.44,5296.34,5296.72,0.74414665,3941.8910380999996,5297.1965111
1556672340,5296.72,5299.45,5296.72,5298.3,0.30811402,1632.0171117999998,5296.796010100001
1556672400,5300.63,5303.4,5299.6,5302.22,11.35322577,60202.476375,5302.675873300001
1556672460,5301.24,5303.68,5301.24,5303.68,0.18009598,955.14554541,5303.536177800001
1556672520,5303.76,5303.76,5301.69,5301.69,0.76494047,4056.9138280999996,5303.5680385
1556672580,,,,,,,
1556672640,5304.59,5304.59,5302.3,5302.3,0.08385161,444.79612189,5304.5626899
1556672700,5304.59,5309.55,5304.59,5307.76,6.77121182,35928.837338,5306.116289500001
1556672760,5309.87,5310.89,5307.75,5307.78,6.68656891,35495.103402999994,5308.4180962
1556672820,5307.78,5307.99,5302.18,5302.71,14.26964455,75697.978434,5304.8257908
1556672880,5302.7,5306.79,5302.7,5304.86,5.49810577,29155.086739,5302.7511581
1556672940,,,,,,,
1556673000,5309.39,5309.6,5307.42,5307.42,0.04600181,244.24420038,5309.4476147
1556673060,5307.42,5307.42,5305.0,5305.0,3.77386391,20029.423423,5307.4047981
1556673120,5305.0,5305.0,5305.0,5305.0,0.09997012,530.3414866,5305.0
1556673180,5305.83,5305.83,5305.83,5305.83,1.14147913,6056.4942123,5305.83
1556673240,5306.04,5306.04,5305.0,5305.0,0.32850581,1743.0628880999998,5306.0336683
1556673300,5307.11,5307.11,5305.0,5305.0,0.01120584,59.468515522,5306.9217053
1556673360,5307.11,5307.11,5305.0,5307.01,0.44357033,2354.065934,5307.0861029
1556673420,5307.06,5309.68,5307.06,5308.75,1.01996896,5415.1066977,5309.0896979
1556673480,5310.04,5310.04,5308.75,5309.0,0.11440854,607.4008223,5309.0514248
1556673540,5310.04,5311.0,5310.04,5311.0,5.07346792,26944.852738999998,5310.9338946
1556673600,5311.31,5312.2,5309.83,5309.83,0.88234631,4686.5995287,5311.5193837
1556673660,5309.84,5309.84,5308.98,5308.98,3.95764125,21013.359752,5309.566589
1556673720,5307.61,5309.19,5306.64,5306.64,2.82750139,15009.457769,5308.382101100001
1556673780,5306.96,5306.96,5305.01,5306.08,4.06106264,21548.708787,5306.1749344
1556673840,5306.08,5306.94,5305.01,5305.01,1.51827166,8056.112174,5306.1071916
1556673900,5306.72,5306.72,5299.28,5299.28,10.83282255,57437.436961,5302.167251100001
1556673960,5298.6,5299.28,5297.04,5297.04,5.60332007,29692.466018,5299.0844084
1556674020,5299.24,5300.56,5297.31,5298.14,11.78151673,62417.020602,5297.876498600001
1556674080,5299.96,5299.96,5294.95,5296.76,2.06518762,10940.681956999999,5297.6697378
1556674140,5301.52,5301.52,5296.95,5296.95,0.99010528,5248.5120398,5300.963590199999
1556674200,5299.0,5302.12,5296.84,5298.24,1.10753772,5868.576167499999,5298.759637300001
1556674260,5299.62,5299.7,5291.13,5298.43,4.12205156,21829.841371000002,5295.8681019
1556674320,5301.89,5301.89,5298.45,5300.17,0.39839716,2111.7212786,5300.5430024
1556674380,5302.13,5303.45,5300.65,5301.79,0.24200269,1283.2442943,5302.6034312
1556674440,5301.79,5302.54,5299.07,5299.12,1.32275412,7012.6472966,5301.550145
1556674500,5298.03,5302.91,5298.03,5302.91,1.02952099,5458.2094419,5301.6980663
1556674560,5302.9,5303.45,5298.25,5298.48,2.90350966,15390.447237999999,5300.6357961
1556674620,5298.48,5301.65,5296.31,5296.31,0.71654357,3796.5492446000003,5298.4206454
1556674680,5297.31,5299.86,5296.31,5297.65,1.66854057,8842.8684765,5299.7623405
1556674740,5299.86,5299.86,5297.7,5297.7,0.15800050000000002,837.05436993,5297.795702699999
1556674800,5300.89,5302.21,5298.81,5301.85,0.58464288,3099.3550331,5301.2790185
1556674860,5302.21,5302.96,5300.0,5300.0,2.33494308,12380.355781,5302.2088147
1556674920,5300.03,5303.0,5300.0,5300.13,1.55480027,8243.4457792,5301.9323048999995
1556674980,5302.85,5302.85,5300.0,5302.24,2.63804923,13983.089903999999,5300.5416826
1556675040,5300.0,5303.0,5300.0,5300.0,1.9525905,10351.452344,5301.3944007
1556675100,5300.3,5303.58,5300.0,5300.78,0.43171959,2289.0213151000003,5302.1020313
1556675160,5300.34,5303.73,5300.0,5300.0,0.61676556,3269.4689463000004,5300.9914275
1556675220,5300.0,5303.08,5300.0,5301.84,1.2054809,6390.1562811,5300.9187297
1556675280,5300.51,5300.51,5300.0,5300.0,0.49106717,2602.7534453000003,5300.198433699999
1556675340,5302.8,5302.8,5300.0,5300.81,0.178708,947.2067624,5300.3041968
1556675400,5300.0,5302.78,5300.0,5300.0,1.03401457,5480.630640300001,5300.341793399999
1556675460,5300.01,5302.98,5300.0,5302.05,3.14540231,16677.183962,5302.082950999999
1556675520,5302.05,5305.3,5300.81,5305.3,1.54232908,8177.6338359,5302.1329507
